	user_id	user_type	display_name	location
0	22656	registered	Jon Skeet	Reading, United Kingdom
1	1144035	registered	Gordon Linoff	New York, United States
2	6309	registered	VonC	France
3	157882	registered	BalusC	Willemstad, Cura&#231;ao
4	29407	registered	Darin Dimitrov	Sofia, Bulgaria
5	23354	registered	Marc Gravell	Forest of Dean, United Kingdom
6	115145	registered	CommonsWare	Pennsylvania, United States
7	100297	moderator	Martijn Pieters	Cambridge, UK
8	157247	registered	T.J. Crowder	United Kingdom
9	17034	registered	Hans Passant	Madison, WI
10	893	registered	Greg Hewgill	Christchurch, New Zealand
11	19068	registered	Quentin	United Kingdom
12	34397	registered	SLaks	New Jersey
13	14860	registered	paxdiablo	
14	95810	registered	Alex Martelli	Sunnyvale, CA
15	5445	registered	Christian C. Salvad&#243;	Guatemala
16	190597	registered	unutbu	
17	61974	registered	Mark Byers	Denmark
18	3732271	registered	akrun	
19	218196	registered	Felix Kling	Germany
20	20862	registered	Ignacio Vazquez-Abrams	
21	548225	registered	anubhava	Bangalore, India
22	13302	registered	marc_s	Bern, Switzerland
23	23283	registered	JaredPar	Redmond, WA
24	335858	registered	Sergey Kalinichenko	United States
25	2901002	registered	jezrael	Bratislava, Slovakia
26	15168	registered	Jonathan Leffler	Colorado, USA
27	19563	registered	CB Bailey	United Kingdom
28	69083	registered	Guffa	Virsbo, Sweden
29	139985	registered	Stephen C	Australia
